filename,width,height,class,xmin,ymin,xmax,ymax
734742701.jpg,720,720,7c,174,516,239,566
734742701.jpg,720,720,7c,109,385,174,435
734742701.jpg,720,720,7c,497,323,562,373
734742701.jpg,720,720,7c,433,192,497,242
829076007.jpg,720,720,9c,296,468,326,524
829076007.jpg,720,720,9c,415,128,445,184
829076007.jpg,720,720,2c,133,387,195,409
829076007.jpg,720,720,2c,172,221,234,244
829076007.jpg,720,720,2c,463,378,526,400
829076007.jpg,720,720,2c,503,212,565,235
033357796.jpg,720,720,7c,504,467,547,530
033357796.jpg,720,720,7c,334,552,377,615
033357796.jpg,720,720,7c,379,166,422,228
033357796.jpg,720,720,7c,209,251,252,314
904385524.jpg,720,720,3c,296,468,326,524
904385524.jpg,720,720,3c,415,128,445,184
904385524.jpg,720,720,1c,133,387,195,409
904385524.jpg,720,720,1c,172,221,234,244
904385524.jpg,720,720,1c,463,378,526,400
904385524.jpg,720,720,1c,503,212,565,235
766388682.jpg,720,720,3c,574,319,638,387
766388682.jpg,720,720,3c,316,26,380,94
766388682.jpg,720,720,3c,159,164,224,232
766388682.jpg,720,720,5c,86,362,132,418
766388682.jpg,720,720,5c,237,258,283,313
766388682.jpg,720,720,5c,241,608,287,664
766388682.jpg,720,720,5c,392,504,438,559
465999921.jpg,720,720,3c,327,540,385,594
465999921.jpg,720,720,3c,588,322,646,376
465999921.jpg,720,720,3c,484,195,543,249
465999921.jpg,720,720,7c,431,287,502,315
465999921.jpg,720,720,7c,400,479,471,507
465999921.jpg,720,720,7c,49,310,119,338
465999921.jpg,720,720,7c,18,502,88,530
746273666.jpg,720,720,2c,574,319,638,387
746273666.jpg,720,720,2c,316,26,380,94
746273666.jpg,720,720,2c,159,164,224,232
746273666.jpg,720,720,9c,86,362,132,418
746273666.jpg,720,720,9c,237,258,283,313
746273666.jpg,720,720,9c,241,608,287,664
746273666.jpg,720,720,9c,392,504,438,559
167443396.jpg,720,720,6c,504,467,547,530
167443396.jpg,720,720,6c,334,552,377,615
167443396.jpg,720,720,6c,379,166,422,228
167443396.jpg,720,720,6c,209,251,252,314
201642463.jpg,720,720,1c,157,141,184,209
201642463.jpg,720,720,1c,152,500,179,567
201642463.jpg,720,720,1c,318,98,347,164
201642463.jpg,720,720,1c,515,85,544,151
201642463.jpg,720,720,1c,295,470,324,536
201642463.jpg,720,720,1c,492,456,521,523
376680987.jpg,720,720,6c,446,481,474,549
376680987.jpg,720,720,6c,456,128,483,196
376680987.jpg,720,720,9c,284,495,322,557
376680987.jpg,720,720,9c,110,464,148,527
376680987.jpg,720,720,9c,377,157,415,220
376680987.jpg,720,720,9c,204,127,242,189
797224723.jpg,720,720,8c,519,616,553,687
797224723.jpg,720,720,8c,308,608,342,680
797224723.jpg,720,720,3c,561,299,625,338
797224723.jpg,720,720,3c,475,467,540,506
797224723.jpg,720,720,3c,251,196,316,235
797224723.jpg,720,720,3c,166,364,230,403
642177125.jpg,720,720,9c,519,616,553,687
642177125.jpg,720,720,9c,308,608,342,680
642177125.jpg,720,720,9c,561,299,625,338
642177125.jpg,720,720,9c,475,467,540,506
642177125.jpg,720,720,9c,251,196,316,235
642177125.jpg,720,720,9c,166,364,230,403
126849008.jpg,720,720,8c,441,68,508,136
126849008.jpg,720,720,8c,589,161,657,229
126849008.jpg,720,720,8c,511,367,570,397
126849008.jpg,720,720,8c,486,533,544,562
126849008.jpg,720,720,8c,193,319,252,348
126849008.jpg,720,720,8c,168,485,226,514
048756993.jpg,720,720,9c,240,109,295,161
048756993.jpg,720,720,9c,118,237,173,289
048756993.jpg,720,720,1c,578,317,656,348
048756993.jpg,720,720,1c,545,529,623,560
048756993.jpg,720,720,1c,155,345,233,377
048756993.jpg,720,720,1c,122,557,200,589
273156857.jpg,720,720,6c,283,580,342,651
273156857.jpg,720,720,6c,111,493,170,565
273156857.jpg,720,720,6c,329,144,389,215
273156857.jpg,720,720,3c,517,158,575,197
273156857.jpg,720,720,3c,570,311,629,351
273156857.jpg,720,720,3c,216,275,275,315
273156857.jpg,720,720,3c,270,429,329,469
665782031.jpg,720,720,4c,232,576,293,637
665782031.jpg,720,720,4c,174,516,239,566
665782031.jpg,720,720,4c,109,385,174,435
665782031.jpg,720,720,4c,497,323,562,373
665782031.jpg,720,720,4c,433,192,497,242
899671527.jpg,720,720,3c,240,109,295,161
899671527.jpg,720,720,3c,118,237,173,289
899671527.jpg,720,720,8c,578,317,656,348
899671527.jpg,720,720,8c,545,529,623,560
899671527.jpg,720,720,8c,155,345,233,377
899671527.jpg,720,720,8c,122,557,200,589
195133761.jpg,720,720,4c,504,467,547,530
195133761.jpg,720,720,4c,334,552,377,615
195133761.jpg,720,720,4c,379,166,422,228
195133761.jpg,720,720,4c,209,251,252,314
366522089.jpg,720,720,2c,296,468,326,524
366522089.jpg,720,720,2c,415,128,445,184
366522089.jpg,720,720,4c,133,387,195,409
366522089.jpg,720,720,4c,172,221,234,244
366522089.jpg,720,720,4c,463,378,526,400
366522089.jpg,720,720,4c,503,212,565,235
019230267.jpg,720,720,2c,240,109,295,161
019230267.jpg,720,720,2c,118,237,173,289
019230267.jpg,720,720,6c,578,317,656,348
019230267.jpg,720,720,6c,545,529,623,560
019230267.jpg,720,720,6c,155,345,233,377
019230267.jpg,720,720,6c,122,557,200,589
294171225.jpg,720,720,6c,446,481,474,549
294171225.jpg,720,720,6c,456,128,483,196
294171225.jpg,720,720,5c,284,495,322,557
294171225.jpg,720,720,5c,110,464,148,527
294171225.jpg,720,720,5c,377,157,415,220
294171225.jpg,720,720,5c,204,127,242,189
354029149.jpg,720,720,8c,327,540,385,594
354029149.jpg,720,720,8c,588,322,646,376
354029149.jpg,720,720,8c,484,195,543,249
354029149.jpg,720,720,2c,431,287,502,315
354029149.jpg,720,720,2c,400,479,471,507
354029149.jpg,720,720,2c,49,310,119,338
354029149.jpg,720,720,2c,18,502,88,530
519221083.jpg,720,720,6c,574,319,638,387
519221083.jpg,720,720,6c,316,26,380,94
519221083.jpg,720,720,6c,159,164,224,232
519221083.jpg,720,720,5c,86,362,132,418
519221083.jpg,720,720,5c,237,258,283,313
519221083.jpg,720,720,5c,241,608,287,664
519221083.jpg,720,720,5c,392,504,438,559
594316162.jpg,720,720,8c,327,540,385,594
594316162.jpg,720,720,8c,588,322,646,376
594316162.jpg,720,720,8c,484,195,543,249
594316162.jpg,720,720,4c,431,287,502,315
594316162.jpg,720,720,4c,400,479,471,507
594316162.jpg,720,720,4c,49,310,119,338
594316162.jpg,720,720,4c,18,502,88,530
504607745.jpg,720,720,4c,157,141,184,209
504607745.jpg,720,720,4c,152,500,179,567
504607745.jpg,720,720,5c,318,98,347,164
504607745.jpg,720,720,5c,515,85,544,151
504607745.jpg,720,720,5c,295,470,324,536
504607745.jpg,720,720,5c,492,456,521,523
107251603.jpg,720,720,2c,240,109,295,161
107251603.jpg,720,720,2c,118,237,173,289
107251603.jpg,720,720,6c,578,317,656,348
107251603.jpg,720,720,6c,545,529,623,560
107251603.jpg,720,720,6c,155,345,233,377
107251603.jpg,720,720,6c,122,557,200,589
946718895.jpg,720,720,4c,232,576,293,637
946718895.jpg,720,720,4c,174,516,239,566
946718895.jpg,720,720,4c,109,385,174,435
946718895.jpg,720,720,4c,497,323,562,373
946718895.jpg,720,720,4c,433,192,497,242
149944013.jpg,720,720,8c,157,141,184,209
149944013.jpg,720,720,8c,152,500,179,567
149944013.jpg,720,720,3c,318,98,347,164
149944013.jpg,720,720,3c,515,85,544,151
149944013.jpg,720,720,3c,295,470,324,536
149944013.jpg,720,720,3c,492,456,521,523
